"ReferenceID","Authors","Year","Title","Details"
"Neu-Ref-1","Banks, N.","1892","A synopsis, catalogue, and bibliography of the neuropteroid insects of temperate North America.","Transactions of the American Entomological Society 19:327-373."
"Neu-Ref-3","Banks, N.","1895","New neuropteroid insects.","Transactions of the American Entomological Society 22:313-316."
"Neu-Ref-4","Banks, N.","1895","Some Mexican Neuroptera.","Proceedings of the California Academy of Sciences (2)5:515-522."
"Neu-Ref-6","Banks, N.","1897","New North American neuropteroid insects.","Transactions of the American Entomological Society 24:21-31."
"Neu-Ref-7","Banks, N.","1897","Three new species of Chrysopidae.","Proceedings of the Entomological Society of Washington 4:173-175."
"Neu-Ref-8","Banks, N.","1898-1899","Descriptions of new North American neuropteroid insects.","Transactions of the American Entomological Society 25:199-218."
"Neu-Ref-9","Banks, N.","1899","A classification of the North American Myrmeleonidae.","Canadian Entomologist 31:67-71."
"Neu-Ref-10","Banks, N.","1899","New genera and species of Nearctic neuropteroid insects.","Transactions of the American Entomological Society 26:239-259."
"Neu-Ref-11","Banks, N.","1899","New Myrmeleonidae.","Entomological News, Philadelphia 10:170-172."
"Neu-Ref-12","Banks, N.","1900","A new species of Myrmeleon from Texas.","Entomological News, Philadelphia 11:596."
"Neu-Ref-14","Banks, N.","1901","A list of neuropteroid insects from Mexico.","Transactions of the American Entomological Society 27:361-371."
"Neu-Ref-19","Banks, N.","1903","A revision of the Nearctic Chrysopidae.","Transactions of the American Entomological Society 29:137-162."
"Neu-Ref-20","Banks, N.","1903","Neuropteroid insects from Arizona.","Proceedings of the Entomological Society of Washington 5:237-245."
"Neu-Ref-21","Banks, N.","1903","Notes on Brachynemuri of the B. ferox group.","Proceedings of the Entomological Society of Washington 5:173-177."
"Neu-Ref-22","Banks, N.","1903","Some new neuropteroid insects.","Journal of the New York Entomological Society 11:236-243."
"Neu-Ref-24","Banks, N.","1904","Neuropteroid insects from New Mexico.","Transactions of the American Entomological Society 30:97-110."
"Neu-Ref-25","Banks, N.","1904","New species of Hemerobius.","Canadian Entomologist 36:61-63."
"Neu-Ref-27","Banks, N.","1905","Descriptions of new Nearctic neuropteroid insects.","Transactions of the American Entomological Society 32:1-20."
"Neu-Ref-29","Baker, C. F.","1905","Notes on neuropteroid insects of the Pacific Coast of North America with descriptions of new species by Nathan Banks.","Invertebrata Pacifica 1:85-91."
"Neu-Ref-30","Banks, N.","1906","A revision of the Nearctic Coniopterygidae.","Proceedings of the Entomological Society of Washington 8:77-86."
"Neu-Ref-31","Banks, N.","1905","A revision of the Nearctic Hemerobiidae.","Transactions of the American Entomological Society 32:21-51."
"Neu-Ref-33","Banks, N.","1906","Three new species of Neuroptera.","Psyche 13:98-100."
"Neu-Ref-35","Banks, N.","1907","A new antlion-fly from Arizona.","Entomological News, Philadelphia 18:100-101."
"Neu-Ref-36","Banks, N.","1907","A new genus and a new species of Neuroptera.","Entomological News, Philadelphia 18:275."
"Neu-Ref-37","Banks, N.","1907","Catalogue of the neuropteroid insects (except Odonata) of the United States. American Entomological Society, Philadelphia.",
"Neu-Ref-39","Banks, N.","1907","New tropical American Neuroptera.","Proceedings of the Entomological Society of Washington 9:30-34."
